Date,Open,High,Low,Close,Volume
2024-02-26,500.358,500.802,497.955,498.085,51186451
2024-02-27,498.785,499.236,496.865,499.01,49629922
2024-02-28,497.435,498.936,497.07,498.35,57403479
2024-02-29,500.132,501.776,497.455,500.142,85256807
2024-03-01,501.028,505.27,500.614,504.838,78064486
2024-03-04,504.031,506.167,504.001,504.296,50589645
2024-03-05,502.269,502.721,497.021,499.256,74011950
2024-03-06,502.574,504.068,500.477,501.785,69467697
2024-03-07,505.123,507.83,501.84,506.767,59582981
2024-03-08,507.406,510.124,503.144,503.725,87905936
2024-03-11,502.505,503.883,500.556,503.291,63550059
2024-03-12,505.428,509.296,502.879,508.705,74274874
2024-03-13,509.03,509.209,506.452,507.91,55978672
2024-03-14,508.894,509.045,503.824,506.905,111920411
2024-03-15,503.799,505.27,501.738,503.424,109016103
2024-03-18,507.542,509.002,506,506.416,90024504
2024-03-19,505.714,509.512,504.697,509.231,61528377
2024-03-20,509.288,514.079,508.607,513.939,70480169
2024-03-21,516.814,517.525,515.353,515.639,61022875
2024-03-22,515.55,516.037,514.424,514.661,80077023
2024-03-25,513.268,514.405,513.081,513.24,49129427
2024-03-26,514.681,515.027,511.886,512.291,66296774
2024-03-27,515.154,516.635,512.957,516.596,84055954
2024-03-28,516.635,518.018,516.212,516.498,97520245
2024-04-01,517.247,517.791,514.424,515.599,63272571
2024-04-02,511.728,512.459,509.99,512.321,75174893
2024-04-03,511.215,514.405,511.161,512.884,59908520
2024-04-04,516.941,517.285,506.312,506.623,98090599
2024-04-05,507.996,513.901,507.552,511.915,75495092
2024-04-08,512.627,513.643,511.383,512.202,49017667
2024-04-09,513.959,514.207,507.888,512.795,68991272
2024-04-10,507.028,509.674,505.655,507.66,83704568
2024-04-11,509.201,512.952,505.645,511.492,70991021
2024-04-12,507.908,509.333,502.683,504.431,93738940
2024-04-15,508.656,508.826,497.253,498.112,93273444
2024-04-16,498.595,500.136,495.9,497.204,74419109
2024-04-17,499.692,499.859,492.849,494.261,76876268
2024-04-18,495.672,497.796,492.295,493.244,75496714
2024-04-19,493.165,494.167,487.654,488.939,103397766
2024-04-22,491.575,496.067,489.205,493.441,68825857
2024-04-23,495.475,499.731,493.256,499.296,65456087
2024-04-24,500.195,500.994,496.808,499.06,56639764
2024-04-25,492.908,497.933,491.239,497.164,70001954
2024-04-26,499.988,503.473,499.346,501.874,65124417
2024-04-29,503.681,504.333,500.877,503.651,47006088
2024-04-30,502.17,503.157,495.672,495.672,78469549
2024-05-01,495.08,501.804,493.585,494.063,81263934
2024-05-02,497.816,499.533,493.274,498.684,63346134
2024-05-03,504.737,506.11,502.17,504.866,73682543
2024-05-06,507.294,510.119,506.85,510.079,47866149
2024-05-07,511.057,512.054,509.96,510.642,53230145
2024-05-08,508.786,511.235,508.666,510.691,42582267
2024-05-09,510.879,513.671,510.212,513.633,44199036
2024-05-10,515.253,516.067,513.061,514.295,52897841
2024-05-13,515.995,516.102,513.21,514.365,37183579
2024-05-14,514.562,517.247,514.019,516.724,58268014
2024-05-15,519.224,523.419,518.581,523.123,60262100
2024-05-16,523.221,524.844,521.898,522.047,50884195
